id,goals,assists,cleansheets,influence,creativity,threat,ict,minutes,gw
420,0,0,1,23.2,4.0,2.0,2.9,90,7
421,0,0,0,0.0,0.0,0.0,0.0,0,7
422,0,0,0,0.0,0.0,0.0,0.0,0,7
430,0,0,0,0.0,0.0,0.0,0.0,0,7
431,0,0,0,0.0,0.0,0.0,0.0,0,7
432,0,0,0,7.6,21.2,0.0,2.9,22,7
435,0,0,0,3.0,0.3,0.0,0.3,9,7
438,0,0,0,0.0,0.0,0.0,0.0,0,7
441,0,0,0,0.0,0.0,0.0,0.0,0,7
442,1,0,0,45.8,11.5,37.0,9.4,77,7
443,0,0,0,16.2,24.9,0.0,4.1,90,7
448,0,0,1,13.2,25.3,33.0,7.2,90,7
453,0,0,0,0.0,6.1,10.0,1.5,59,7
456,0,0,0,0.0,0.0,0.0,0.0,0,7
462,0,0,0,0.0,0.0,0.0,0.0,0,7
463,0,1,1,8.6,27.6,8.0,4.4,90,7
465,0,1,0,22.2,14.3,2.0,3.9,20,7
469,0,0,0,3.6,2.2,10.0,1.6,35,7
470,0,0,0,0.0,0.0,0.0,0.0,0,7
472,0,0,0,0.0,0.0,0.0,0.0,0,7
476,0,0,0,11.8,1.1,35.0,4.8,88,7
480,0,0,0,0.0,0.0,0.0,0.0,0,7
482,0,0,0,0.0,0.0,0.0,0.0,0,7
483,0,0,0,0.0,0.0,0.0,0.0,0,7
488,0,0,0,2.8,6.0,23.0,3.2,73,7
489,0,0,0,5.2,8.8,7.0,2.1,16,7
490,0,0,0,8.0,21.0,4.0,3.3,10,7
491,0,0,0,19.8,33.3,0.0,5.3,90,7
492,0,0,0,4.8,0.3,0.0,0.5,13,7
497,0,0,0,0.0,0.0,0.0,0.0,0,7
499,0,0,0,0.0,0.0,0.0,0.0,0,7
500,0,0,0,0.0,0.0,0.0,0.0,0,7
505,0,0,0,11.0,20.5,0.0,3.2,77,7
507,0,0,0,21.6,0.6,0.0,2.2,90,7
508,0,0,0,6.2,24.8,13.0,4.4,87,7
510,0,0,0,0.0,0.0,0.0,0.0,0,7
516,0,0,0,26.2,0.8,0.0,2.7,64,7
517,0,1,1,4.6,8.4,20.0,3.3,78,7
522,0,0,0,0.0,0.0,0.0,0.0,0,7
