,id,fixture_id,G,A,CS,gw,MP,I,C,T,ICT,team,opp,home,opp_att,opp_def,att,def,Sh90,KP90
98,3.0,51,0.0,0.0,0.0,6.0,90.0,17.4,13.8,10.0,4.1,1.0,2.0,True,1060.0,1050.0,1150.0,1280.0,0.0,1.0
99,4.0,51,0.0,0.0,0.0,6.0,40.0,0.0,12.6,8.0,1.6,1.0,2.0,True,1060.0,1050.0,1150.0,1280.0,2.25,2.25
100,5.0,51,0.0,0.0,0.0,6.0,90.0,18.6,10.5,8.0,3.7,1.0,2.0,True,1060.0,1050.0,1150.0,1280.0,1.0,1.0
101,106.0,51,0.0,0.0,0.0,6.0,90.0,23.2,0.8,13.0,3.7,1.0,2.0,True,1060.0,1050.0,1150.0,1280.0,2.0,0.0
102,467.0,51,1.0,0.0,0.0,6.0,45.0,44.8,11.0,31.0,8.7,1.0,2.0,True,1060.0,1050.0,1150.0,1280.0,4.39,2.2
103,18.0,51,0.0,0.0,0.0,6.0,71.0,7.2,16.5,4.0,2.8,1.0,2.0,True,1060.0,1050.0,1150.0,1280.0,0.0,1.2
104,19.0,51,0.0,0.0,0.0,6.0,18.0,2.6,17.6,25.0,4.5,1.0,2.0,True,1060.0,1050.0,1150.0,1280.0,12.0,6.0
105,21.0,51,0.0,1.0,0.0,6.0,90.0,12.2,37.8,13.0,6.3,1.0,2.0,True,1060.0,1050.0,1150.0,1280.0,1.0,3.0
106,469.0,51,0.0,0.0,0.0,6.0,71.0,10.4,15.8,4.0,3.0,1.0,2.0,True,1060.0,1050.0,1150.0,1280.0,1.2,1.2
107,488.0,51,1.0,0.0,0.0,6.0,90.0,47.0,61.8,70.0,17.9,1.0,2.0,True,1060.0,1050.0,1150.0,1280.0,5.0,4.0
108,490.0,51,0.0,0.0,0.0,6.0,18.0,5.0,11.8,12.0,2.9,1.0,2.0,True,1060.0,1050.0,1150.0,1280.0,6.0,6.0
109,11.0,51,1.0,0.0,0.0,6.0,90.0,34.6,1.6,59.0,9.5,1.0,2.0,True,1060.0,1050.0,1150.0,1280.0,4.0,0.0
110,541.0,51,0.0,0.0,0.0,6.0,45.0,8.4,15.3,5.0,2.9,1.0,2.0,True,1060.0,1050.0,1150.0,1280.0,1.84,1.84
111,14.0,67,0.0,0.0,0.0,7.0,90.0,18.6,0.0,0.0,1.9,1.0,12.0,False,1270.0,1280.0,1190.0,1330.0,0.0,0.0
112,3.0,67,0.0,0.0,0.0,7.0,90.0,13.0,2.3,0.0,1.5,1.0,12.0,False,1270.0,1280.0,1190.0,1330.0,0.0,0.0
113,5.0,67,0.0,0.0,0.0,7.0,90.0,14.6,0.3,0.0,1.5,1.0,12.0,False,1270.0,1280.0,1190.0,1330.0,0.0,0.0
114,106.0,67,0.0,0.0,0.0,7.0,90.0,30.6,7.1,10.0,4.8,1.0,12.0,False,1270.0,1280.0,1190.0,1330.0,1.0,0.0
115,467.0,67,0.0,0.0,0.0,7.0,90.0,8.0,12.8,4.0,2.5,1.0,12.0,False,1270.0,1280.0,1190.0,1330.0,0.0,1.0
116,18.0,67,0.0,0.0,0.0,7.0,90.0,5.2,2.7,4.0,1.2,1.0,12.0,False,1270.0,1280.0,1190.0,1330.0,0.0,0.0
