Team,Player,Pos,Apps,Min,G,NPG,A,Sh90,KP90,xG,xG Change,NPxG,NPxG Change,xA,xA Change,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90 + xA90,NPxG90 + xA90,xGChain90,xGBuildup90,Yellow Flag,Red Flag
Manchester United,Angel Gomes,S,2,17,0,0,0,0.00,10.59,0.00,0,0.00,0,0.23,+0.23,0.25,0.16,0.00,0.00,1.21,1.21,1.21,1.34,0.86,0,0
Manchester United,Fred,M,23,1843,0,0,0,1.76,1.61,1.31,+1.31,1.31,+1.31,2.20,+2.20,9.61,7.60,0.06,0.06,0.11,0.17,0.17,0.47,0.37,5,0
Manchester United,Diogo Dalot,D,4,65,0,0,0,1.38,0.00,0.35,+0.35,0.35,+0.35,0.00,0,0.37,0.02,0.48,0.48,0.00,0.48,0.48,0.51,0.03,0,0
Manchester United,James Garner,S,1,5,0,0,0,0.00,0.00,0.00,0,0.00,0,0.00,0,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.65,0.65,0,0
Manchester United,Tahith Chong,S,3,29,0,0,0,3.10,0.00,0.07,+0.07,0.07,+0.07,0.00,0,0.09,0.01,0.22,0.22,0.00,0.22,0.22,0.27,0.04,0,0
Tottenham,Harry Kane,F,20,1785,11,9,2,2.87,1.01,7.90,-3.10,6.38,-2.62,1.96,-0.04,10.01,2.43,0.40,0.32,0.10,0.50,0.42,0.50,0.12,2,0
Tottenham,Son Heung-Min,F M,21,1764,9,9,7,3.27,1.53,7.87,-1.13,7.11,-1.89,5.19,-1.81,14.96,5.20,0.40,0.36,0.26,0.67,0.63,0.76,0.27,0,2
Tottenham,Dele Alli,F M,20,1596,7,7,3,1.92,1.18,6.10,-0.90,6.10,-0.90,3.40,+0.40,14.64,5.94,0.34,0.34,0.19,0.54,0.54,0.83,0.33,2,0
Tottenham,Lucas Moura,F M,25,1549,4,4,2,2.38,1.51,4.72,+0.72,4.72,+0.72,2.06,+0.06,8.35,2.29,0.27,0.27,0.12,0.39,0.39,0.49,0.13,2,0
Tottenham,Erik Lamela,F M,16,850,2,2,1,2.44,1.59,1.72,-0.28,1.72,-0.28,0.92,-0.08,4.73,2.83,0.18,0.18,0.10,0.28,0.28,0.50,0.30,2,0
Tottenham,Christian Eriksen,F M,20,1075,2,2,2,2.18,1.93,1.76,-0.24,1.76,-0.24,2.26,+0.26,4.12,1.82,0.15,0.15,0.19,0.34,0.34,0.35,0.15,5,0
Tottenham,Moussa Sissoko,D M,20,1694,2,2,1,0.69,0.58,2.45,+0.45,2.45,+0.45,1.55,+0.55,8.13,5.14,0.13,0.13,0.08,0.21,0.21,0.43,0.27,6,0
Tottenham,Tanguy NDombele Alvaro,M,17,883,2,2,2,0.92,1.22,0.35,-1.65,0.35,-1.65,0.80,-1.20,4.45,4.07,0.04,0.04,0.08,0.12,0.12,0.45,0.41,2,0
Tottenham,Toby Alderweireld,D,26,2329,1,1,2,0.35,0.43,0.28,-0.72,0.28,-0.72,1.23,-0.77,6.84,5.74,0.01,0.01,0.05,0.06,0.06,0.26,0.22,4,0
