,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
218,100.0,100.0,164511,0,0,-2,2,1,2,6.5,6.5,4,Yerry,7.0,142,False,,2020-01-17T10:30:19.738533Z,53,164511.jpg,2.9,Mina,2.3,False,,a,8,11,73,412988,5298,422039,2551,1.3,13.8,Mina,2085,2,1,5,36,1,0,0,3,0,0,8,380,486.0,76.4,405.0,96.7
219,100.0,100.0,106611,0,0,-3,3,0,2,0.5,0.5,0,Michael,1.0,143,False,,2020-01-20T14:00:12.624966Z,52,106611.jpg,2.6,Keane,1.9,False,,a,8,11,53,148745,136,238646,982,0.2,10.2,Keane,1566,1,0,4,27,0,0,0,0,0,0,3,277,351.0,31.6,152.0,53.5
220,100.0,100.0,59949,0,0,-2,2,0,2,0.2,0.2,0,Seamus,0.7,144,False,,2019-11-29T15:30:19.353099Z,53,59949.jpg,1.9,Coleman,1.1,False,,a,8,11,33,114658,133,265465,339,0.1,6.2,Coleman,1162,0,1,3,20,0,0,0,3,1,0,2,203,206.8,122.2,132.0,46.2
221,100.0,100.0,12745,0,0,-1,1,0,2,-0.2,-0.2,1,Leighton,0.3,145,False,,2019-07-30T15:00:09.168977Z,49,12745.jpg,2.2,Baines,0.2,False,,a,8,11,9,13082,155,15756,105,0.1,1.8,Baines,242,0,1,0,5,0,0,0,0,0,0,0,59,53.4,49.2,3.0,10.6
222,,,177815,0,0,2,-2,2,4,5.8,5.8,6,Dominic,6.3,147,False,,,62,177815.jpg,4.1,Calvert-Lewin,13.6,False,,a,8,11,102,1402899,88947,555059,19614,1.0,16.5,Calvert-Lewin,1739,12,1,5,30,0,0,0,6,0,0,13,354,486.4,206.1,941.0,162.8
223,,,111234,0,0,-2,2,1,1,0.8,0.8,1,Jordan,1.3,148,False,,,53,111234.jpg,2.9,Pickford,6.6,False,,a,8,11,79,478416,667,704479,5487,0.2,14.9,Pickford,2430,0,0,6,41,0,0,0,1,0,64,3,436,523.8,3.0,0.0,52.5
224,,,10318,0,0,0,0,0,1,-0.5,-0.5,0,Maarten,0.0,149,False,,,40,10318.jpg,0.0,Stekelenburg,7.2,False,,a,8,11,0,196068,323,251996,3766,0.0,0.0,Stekelenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
225,100.0,100.0,212319,1,-1,3,-3,2,3,6.5,6.5,6,Richarlison,7.0,150,True,,2020-01-17T14:00:19.894274Z,83,212319.jpg,5.2,de Andrade,12.2,False,,a,8,11,129,1932964,97236,1737399,15157,0.9,15.7,Richarlison,2172,10,5,6,37,0,0,0,5,0,0,13,416,669.8,413.2,964.0,204.9
226,100.0,100.0,55422,0,0,-7,7,0,3,2.8,2.8,1,Gylfi,3.3,151,False,,2020-01-17T14:00:19.905907Z,73,55422.jpg,2.7,Sigurdsson,2.4,False,,a,8,11,65,139573,1075,820924,1065,0.5,8.9,Sigurdsson,1812,1,3,5,32,0,0,0,3,0,0,4,294,322.2,657.3,359.0,133.8
227,100.0,100.0,100649,0,0,-1,1,2,3,2.5,2.5,1,Bernard,3.0,152,False,,2020-01-01T17:30:18.170946Z,64,100649.jpg,3.4,Anício Caldeira Duarte,0.7,False,,a,8,11,58,199239,808,214084,1015,0.5,9.1,Bernard,944,3,2,7,8,0,0,0,2,0,0,6,191,266.4,282.4,218.0,76.5
